	Kingdom	Phylum	Class	Order	Family	Genus
ASV 7321 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
ASV 7322 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25	NA
ASV 7323 _	Bacteria	Gemmatimonadetes	PAUC43f_marine_benthic_group	NA	NA	NA
ASV 7324 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 7325 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7326 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7327 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira
ASV 7328 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
ASV 7329 _	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	NA
ASV 7330 _	Bacteria	Acidobacteria	Subgroup_22	NA	NA	NA
ASV 7331 _	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV 7332 _	Bacteria	Acidobacteria	AT-s3-28	NA	NA	NA
ASV 7333 _	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	NA
ASV 7334 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7335 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 7336 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7337 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 7338 _	Bacteria	NA	NA	NA	NA	NA
ASV 7339 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7340 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	cvE6	NA
ASV 7341 _	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV 7342 _	Bacteria	Poribacteria	NA	NA	NA	NA
ASV 7343 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 7344 _	Bacteria	Rokubacteria	NC10	Methylomirabilales	Methylomirabilaceae	NA
ASV 7345 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
ASV 7346 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 7347 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 7348 _	Bacteria	Armatimonadetes	NA	NA	NA	NA
ASV 7349 _	Bacteria	Planctomycetes	Brocadiae	SM23-32	NA	NA
ASV 7350 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA
ASV 7351 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	NA	NA
ASV 7352 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA
ASV 7353 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
ASV 7354 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 7355 _	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	NA	NA
ASV 7356 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7357 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	Candidatus_Latescibacter
ASV 7358 _	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	NA	NA
ASV 7359 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7360 _	Bacteria	Poribacteria	NA	NA	NA	NA
ASV 7361 _	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2
ASV 7362 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7363 _	Bacteria	Chloroflexi	OLB14	NA	NA	NA
ASV 7364 _	Bacteria	Acidobacteria	Subgroup_22	NA	NA	NA
ASV 7365 _	NA	NA	NA	NA	NA	NA
ASV 7366 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7367 _	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV 7368 _	Bacteria	Chloroflexi	Dehalococcoidia	Napoli-4B-65	NA	NA
ASV 7369 _	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV 7370 _	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
ASV 7371 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 7372 _	Bacteria	Gemmatimonadetes	MD2902-B12	NA	NA	NA
ASV 7373 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
ASV 7374 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 7375 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7376 _	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas
ASV 7377 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 7378 _	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1
ASV 7379 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 7380 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA
ASV 7381 _	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	PAUC26f
ASV 7382 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 7383 _	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV 7384 _	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	NA
ASV 7385 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
ASV 7386 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7387 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
ASV 7388 _	Bacteria	Acidobacteria	Subgroup_22	NA	NA	NA
ASV 7389 _	Bacteria	LCP-89	NA	NA	NA	NA
ASV 7390 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV 7391 _	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	NA
ASV 7392 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7393 _	Archaea	Euryarchaeota	Thermoplasmata	Marine_Benthic_Group_D_and_DHVEG-1	NA	NA
ASV 7394 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA
ASV 7395 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7396 _	Bacteria	Planctomycetes	Pla4_lineage	NA	NA	NA
ASV 7397 _	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	NA	NA
ASV 7398 _	NA	NA	NA	NA	NA	NA
ASV 7399 _	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woykebacteria	NA	NA
ASV 7400 _	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	NA	NA
ASV 7401 _	Archaea	Hadesarchaeaeota	NA	NA	NA	NA
ASV 7402 _	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV 7403 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 7404 _	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV 7405 _	Bacteria	Planctomycetes	Pla3_lineage	NA	NA	NA
ASV 7406 _	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV 7407 _	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
ASV 7408 _	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	NA
ASV 7409 _	Bacteria	Proteobacteria	Deltaproteobacteria	RCP2-54	NA	NA
ASV 7410 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 7411 _	Bacteria	Elusimicrobia	Lineage_IIc	NA	NA	NA
ASV 7412 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	VHS-B3-70	NA
ASV 7413 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 7414 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
ASV 7415 _	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Occallatibacter
ASV 7416 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 7417 _	Bacteria	Proteobacteria	Gammaproteobacteria	AT-s2-59	NA	NA
ASV 7418 _	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV 7419 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 7420 _	Bacteria	WOR-1	NA	NA	NA	NA
ASV 7421 _	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas
ASV 7422 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 7423 _	Bacteria	Schekmanbacteria	NA	NA	NA	NA
ASV 7424 _	Bacteria	NA	NA	NA	NA	NA
ASV 7425 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
ASV 7426 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 7427 _	Bacteria	Schekmanbacteria	NA	NA	NA	NA
ASV 7428 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 7429 _	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	AT-s3-44
ASV 7430 _	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
ASV 7431 _	Bacteria	Proteobacteria	Gammaproteobacteria	MBMPE27	NA	NA
ASV 7432 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	NA	NA
ASV 7433 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	VHS-B3-70	NA
ASV 7434 _	Bacteria	Proteobacteria	Deltaproteobacteria	DTB120	NA	NA
ASV 7435 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 7436 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 7437 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 7438 _	Bacteria	Planctomycetes	NA	NA	NA	NA
