	Kingdom	Phylum	Class	Order	Family	Genus
ASV 39849 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 39850 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA
ASV 39851 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	Candidatus_Latescibacter
ASV 39852 _	Bacteria	Acidobacteria	Subgroup_9	NA	NA	NA
ASV 39853 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 39854 _	Bacteria	Chloroflexi	Dehalococcoidia	MSBL5	NA	NA
ASV 39855 _	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV 39856 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 39857 _	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
ASV 39858 _	Archaea	Asgardaeota	Odinarchaeia	NA	NA	NA
ASV 39859 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 39860 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 39861 _	Bacteria	Kiritimatiellaeota	Kiritimatiellae	NA	NA	NA
ASV 39862 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA
ASV 39863 _	Bacteria	Acidobacteria	Aminicenantia	Aminicenantales	NA	NA
ASV 39864 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA
ASV 39865 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus
ASV 39866 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 39867 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 39868 _	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	NA
ASV 39869 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	NA
ASV 39870 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA
ASV 39871 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	VHS-B4-70	NA
ASV 39872 _	Bacteria	NA	NA	NA	NA	NA
ASV 39873 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39874 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 39875 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SM23-30	NA
ASV 39876 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39877 _	Bacteria	NA	NA	NA	NA	NA
ASV 39878 _	Bacteria	Patescibacteria	ABY1	Candidatus_Falkowbacteria	NA	NA
ASV 39879 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 39880 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 39881 _	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	NA	NA
ASV 39882 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 39883 _	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	JdFR-76
ASV 39884 _	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA
ASV 39885 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SM23-30	NA
ASV 39886 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 39887 _	Bacteria	NA	NA	NA	NA	NA
ASV 39888 _	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Chisholmbacteria	NA	NA
ASV 39889 _	Archaea	NA	NA	NA	NA	NA
ASV 39890 _	Archaea	Euryarchaeota	Thermoplasmata	NA	NA	NA
ASV 39891 _	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA
ASV 39892 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 39893 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 39894 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
ASV 39895 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA
ASV 39896 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 39897 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 39898 _	Bacteria	NA	NA	NA	NA	NA
ASV 39899 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	NA
ASV 39900 _	Bacteria	NA	NA	NA	NA	NA
ASV 39901 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 39902 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	Candidatus_Fritschea
ASV 39903 _	Bacteria	Patescibacteria	ABY1	Candidatus_Falkowbacteria	NA	NA
ASV 39904 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39905 _	Bacteria	NA	NA	NA	NA	NA
ASV 39906 _	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	NA	NA
ASV 39907 _	Bacteria	Planctomycetes	Phycisphaerae	NA	NA	NA
ASV 39908 _	Bacteria	Elusimicrobia	Lineage_IIc	NA	NA	NA
ASV 39909 _	Bacteria	WOR-1	NA	NA	NA	NA
ASV 39910 _	Bacteria	NA	NA	NA	NA	NA
ASV 39911 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 39912 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	NA
ASV 39913 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39914 _	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12411	NA
ASV 39915 _	Bacteria	Planctomycetes	Pla4_lineage	NA	NA	NA
ASV 39916 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 39917 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 39918 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 39919 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	Candidatus_Latescibacter
ASV 39920 _	Bacteria	Chloroflexi	Dehalococcoidia	MB-C2-126	NA	NA
ASV 39921 _	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	NA
ASV 39922 _	Bacteria	Planctomycetes	Phycisphaerae	S-70	NA	NA
ASV 39923 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 39924 _	Bacteria	Acidobacteria	Subgroup_22	NA	NA	NA
ASV 39925 _	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV 39926 _	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA
ASV 39927 _	Bacteria	Planctomycetes	SPG12-343-353-B69	NA	NA	NA
ASV 39928 _	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Effusibacillus
ASV 39929 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA
ASV 39930 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 39931 _	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV 39932 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 39933 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 39934 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	NA
ASV 39935 _	Bacteria	Rokubacteria	NC10	Methylomirabilales	Methylomirabilaceae	wb1-A12
ASV 39936 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 39937 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 39938 _	Bacteria	Proteobacteria	Deltaproteobacteria	NKB15	NA	NA
ASV 39939 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 39940 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 39941 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	NA	NA
ASV 39942 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 39943 _	Bacteria	Elusimicrobia	Lineage_IIb	NA	NA	NA
ASV 39944 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 39945 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39946 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 39947 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	NA
ASV 39948 _	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV 39949 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA
ASV 39950 _	Bacteria	NA	NA	NA	NA	NA
ASV 39951 _	Bacteria	Chloroflexi	Anaerolineae	Thermoflexales	Thermoflexaceae	Thermoflexus
ASV 39952 _	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA
ASV 39953 _	Archaea	Nanoarchaeaeota	Nanohaloarchaeia	NA	NA	NA
ASV 39954 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 39955 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 39956 _	Bacteria	Gemmatimonadetes	PAUC43f_marine_benthic_group	NA	NA	NA
ASV 39957 _	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	NA
ASV 39958 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39959 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 39960 _	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV 39961 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SM23-30	NA
ASV 39962 _	Bacteria	Proteobacteria	Deltaproteobacteria	DTB120	NA	NA
ASV 39963 _	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV 39964 _	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	NA	NA
ASV 39965 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA
ASV 39966 _	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA
ASV 39967 _	Bacteria	NA	NA	NA	NA	NA
ASV 39968 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 39969 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 39970 _	Bacteria	NA	NA	NA	NA	NA
ASV 39971 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 39972 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 39973 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39974 _	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
ASV 39975 _	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	NA	NA
ASV 39976 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	L21-RPul-D3	NA
ASV 39977 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA
ASV 39978 _	Bacteria	NA	NA	NA	NA	NA
ASV 39979 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 39980 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 39981 _	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Psychrilyobacter
ASV 39982 _	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA
ASV 39983 _	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA
ASV 39984 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39985 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 39986 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 39987 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 39988 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 39989 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 39990 _	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23
ASV 39991 _	Bacteria	NA	NA	NA	NA	NA
ASV 39992 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39993 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA
ASV 39994 _	Bacteria	NA	NA	NA	NA	NA
ASV 39995 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 39996 _	Bacteria	NA	NA	NA	NA	NA
ASV 39997 _	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA
ASV 39998 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 39999 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	NA	NA
ASV 40000 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 40001 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 40002 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	NA
ASV 40003 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA
ASV 40004 _	Bacteria	Chloroflexi	Anaerolineae	NA	NA	NA
ASV 40005 _	Bacteria	BRC1	NA	NA	NA	NA
ASV 40006 _	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV 40007 _	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
ASV 40008 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 40009 _	Bacteria	NA	NA	NA	NA	NA
ASV 40010 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 40011 _	Bacteria	NA	NA	NA	NA	NA
ASV 40012 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 40013 _	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA
ASV 40014 _	Archaea	Asgardaeota	Odinarchaeia	NA	NA	NA
ASV 40015 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 40016 _	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteriales	PHOS-HE36	NA
ASV 40017 _	Bacteria	NA	NA	NA	NA	NA
ASV 40018 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 40019 _	Bacteria	NA	NA	NA	NA	NA
ASV 40020 _	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0485	NA	NA
ASV 40021 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40022 _	Bacteria	NA	NA	NA	NA	NA
ASV 40023 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 40024 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 40025 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40026 _	Bacteria	Verrucomicrobia	Verrucomicrobiae	S-BQ2-57_soil_group	NA	NA
ASV 40027 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 40028 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 40029 _	Bacteria	NA	NA	NA	NA	NA
ASV 40030 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	NA	NA
ASV 40031 _	Bacteria	Gemmatimonadetes	MD2902-B12	NA	NA	NA
ASV 40032 _	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	NA	NA
ASV 40033 _	Bacteria	Actinobacteria	Thermoleophilia	NA	NA	NA
ASV 40034 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 40035 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	NA	NA
ASV 40036 _	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA
ASV 40037 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 40038 _	Bacteria	WS2	NA	NA	NA	NA
ASV 40039 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 40040 _	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV 40041 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 40042 _	Bacteria	Spirochaetes	Leptospirae	Leptospirales	Leptospiraceae	Turneriella
ASV 40043 _	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128
ASV 40044 _	Bacteria	Proteobacteria	Gammaproteobacteria	MBMPE27	NA	NA
ASV 40045 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40046 _	Bacteria	NA	NA	NA	NA	NA
ASV 40047 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA
ASV 40048 _	Bacteria	NA	NA	NA	NA	NA
ASV 40049 _	Bacteria	NA	NA	NA	NA	NA
ASV 40050 _	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
ASV 40051 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 40052 _	Bacteria	NA	NA	NA	NA	NA
ASV 40053 _	Bacteria	NA	NA	NA	NA	NA
ASV 40054 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 40055 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 40056 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	MidBa8	NA
ASV 40057 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 40058 _	Bacteria	NA	NA	NA	NA	NA
ASV 40059 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA
ASV 40060 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 40061 _	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
ASV 40062 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	MidBa8	NA
ASV 40063 _	Bacteria	Planctomycetes	Phycisphaerae	NA	NA	NA
ASV 40064 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 40065 _	Bacteria	Planctomycetes	Phycisphaerae	C86	NA	NA
ASV 40066 _	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	P13-46	NA
ASV 40067 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25	NA
ASV 40068 _	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA
ASV 40069 _	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	NA
ASV 40070 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfoconvexum
ASV 40071 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 40072 _	Bacteria	Acidobacteria	Aminicenantia	Aminicenantales	NA	NA
ASV 40073 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA
ASV 40074 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	NA
ASV 40075 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 40076 _	Bacteria	WS2	NA	NA	NA	NA
ASV 40077 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group
ASV 40078 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	NA	NA
ASV 40079 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA
ASV 40080 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 40081 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 40082 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 40083 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 40084 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	NA
ASV 40085 _	Bacteria	Patescibacteria	ABY1	Candidatus_Buchananbacteria	NA	NA
ASV 40086 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Spechtbacteria	NA	NA
ASV 40087 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40088 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40089 _	Archaea	Euryarchaeota	Thermoplasmata	NA	NA	NA
ASV 40090 _	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
ASV 40091 _	Bacteria	NA	NA	NA	NA	NA
ASV 40092 _	Bacteria	NA	NA	NA	NA	NA
ASV 40093 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Yanofskybacteria	NA	NA
ASV 40094 _	Bacteria	NA	NA	NA	NA	NA
ASV 40095 _	Bacteria	NA	NA	NA	NA	NA
ASV 40096 _	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA
ASV 40097 _	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA
ASV 40098 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40099 _	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV 40100 _	NA	NA	NA	NA	NA	NA
ASV 40101 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40102 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40103 _	Bacteria	Patescibacteria	Microgenomatia	NA	NA	NA
ASV 40104 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 40105 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40106 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 40107 _	NA	NA	NA	NA	NA	NA
ASV 40108 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 40109 _	Archaea	NA	NA	NA	NA	NA
ASV 40110 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40111 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Yanofskybacteria	NA	NA
ASV 40112 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Yanofskybacteria	NA	NA
ASV 40113 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40114 _	NA	NA	NA	NA	NA	NA
ASV 40115 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40116 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA
ASV 40117 _	Bacteria	NA	NA	NA	NA	NA
ASV 40118 _	Bacteria	NA	NA	NA	NA	NA
ASV 40119 _	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV 40120 _	Bacteria	AncK6	NA	NA	NA	NA
ASV 40121 _	Bacteria	NA	NA	NA	NA	NA
ASV 40122 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 40123 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
ASV 40124 _	Bacteria	NA	NA	NA	NA	NA
ASV 40125 _	Bacteria	NA	NA	NA	NA	NA
ASV 40126 _	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	NA	NA
ASV 40127 _	Bacteria	Planctomycetes	Pla4_lineage	NA	NA	NA
ASV 40128 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 40129 _	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella
ASV 40130 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 40131 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 40132 _	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA
ASV 40133 _	Bacteria	Elusimicrobia	Lineage_IIc	NA	NA	NA
ASV 40134 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 40135 _	Bacteria	Planctomycetes	vadinHA49	NA	NA	NA
ASV 40136 _	Bacteria	NA	NA	NA	NA	NA
ASV 40137 _	Bacteria	NA	NA	NA	NA	NA
ASV 40138 _	Bacteria	Lentisphaerae	NA	NA	NA	NA
ASV 40139 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 40140 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 40141 _	Bacteria	NA	NA	NA	NA	NA
ASV 40142 _	Bacteria	Proteobacteria	Gammaproteobacteria	EV818SWSAP88	NA	NA
ASV 40143 _	Bacteria	NA	NA	NA	NA	NA
ASV 40144 _	Bacteria	Patescibacteria	ABY1	NA	NA	NA
ASV 40145 _	Bacteria	NA	NA	NA	NA	NA
ASV 40146 _	Bacteria	NA	NA	NA	NA	NA
ASV 40147 _	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV 40148 _	Bacteria	Planctomycetes	ODP123	NA	NA	NA
ASV 40149 _	Bacteria	Planctomycetes	Phycisphaerae	DG-20	NA	NA
ASV 40150 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 40151 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	NA	NA
ASV 40152 _	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
ASV 40153 _	Bacteria	NA	NA	NA	NA	NA
ASV 40154 _	Bacteria	Acidobacteria	NA	NA	NA	NA
ASV 40155 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 40156 _	Bacteria	NA	NA	NA	NA	NA
ASV 40157 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 40158 _	Bacteria	NA	NA	NA	NA	NA
ASV 40159 _	Bacteria	NA	NA	NA	NA	NA
ASV 40160 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 40161 _	Bacteria	Elusimicrobia	Lineage_IIc	NA	NA	NA
ASV 40162 _	Bacteria	Planctomycetes	Phycisphaerae	NA	NA	NA
ASV 40163 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 40164 _	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA
ASV 40165 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 40166 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA
ASV 40167 _	Bacteria	Planctomycetes	BD7-11	NA	NA	NA
ASV 40168 _	Bacteria	Planctomycetes	Brocadiae	SM23-32	NA	NA
ASV 40169 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 40170 _	Bacteria	NA	NA	NA	NA	NA
