	SRR6171591	SRR6171610	SRR6171613	SRR6171628	SRR6171632	SRR6171861	SRR6171863	SRR6171996	SRR6172005	SRR6172047	SRR6172048	SRR6172125	SRR6172126	SRR6172133	SRR6172162	SRR6172163	SRR6172165	SRR6172166	SRR6172218	SRR6172219	SRR6172263	SRR6172267	SRR6173526	SRR6173691	SRR6173720	SRR6173734	SRR6173743	SRR6173747	SRR6173774	SRR6173776
ASV 119 _	0	110	243	0	0	163	926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21	0	26	0	9
ASV 120 _	176	54	16	64	78	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	41	0	184	295	165	285	70
ASV 121 _	0	0	0	0	0	0	0	14	27	117	39	207	20	52	20	491	25	19	258	62	33	96	0	0	0	0	0	0	0	0
ASV 122 _	322	13	0	413	312	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	49	25	0	95	10	0	0
ASV 123 _	0	116	149	6	0	36	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	135	184	0	42	276	376
ASV 124 _	0	0	0	12	0	18	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	647	104	0	24	140	123
ASV 125 _	39	0	519	185	134	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	309	0	0	44	0	0	0
ASV 126 _	29	261	133	23	9	118	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	48	39	157	126	120	155	109
ASV 127 _	98	11	0	390	660	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	56	25	0	0	0	0	0
ASV 128 _	145	264	107	95	159	73	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	17	28	22	337	50	48	36
ASV 129 _	0	394	138	0	0	75	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	35	109	0	177	52	40
ASV 130 _	39	69	102	83	16	91	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	103	0	69	35	14	59	21
ASV 131 _	39	56	0	507	196	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	313	0	42	102	31	42	28
ASV 132 _	0	1239	180	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 133 _	42	163	44	116	99	7	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	285	25	96	68	173	80	70
ASV 134 _	0	74	90	32	31	38	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	165	0	229	96	225	95	229
ASV 135 _	266	81	10	78	345	33	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	61	8	84	178	48	39	71
ASV 136 _	200	118	9	163	165	34	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	40	0	25	334	153	11	72
ASV 137 _	201	27	0	307	110	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	87	0	0	55	0	0	0
ASV 138 _	4	788	427	0	0	14	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	30	39	15
ASV 139 _	311	141	68	95	109	40	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	42	5	20	67	217	53	26
ASV 140 _	0	0	0	386	347	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	307	0	0	0	0	0	0
ASV 141 _	24	72	20	217	288	27	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	141	33	2	25	8	20	6
ASV 142 _	183	11	0	205	510	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	26	0	0	272	43	19	7
ASV 143 _	0	0	0	0	0	0	0	0	31	114	50	201	14	26	24	429	33	10	204	63	30	100	0	0	0	0	0	0	0	0
ASV 144 _	0	485	128	0	0	45	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	82	124	0	98	164	97
ASV 145 _	194	53	34	455	189	5	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	72	0	28	129	21	27	17
ASV 146 _	33	2	0	409	321	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	136	32	0	9	0	8	0
ASV 147 _	65	94	24	89	187	22	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	132	0	110	166	185	79	65
ASV 148 _	4	743	172	0	6	61	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	5	4	182	0	41
ASV 149 _	182	79	15	59	178	43	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	85	334	168	60	64
ASV 150 _	1	171	114	0	0	207	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	125	47	0	96	120	85
ASV 151 _	0	189	92	50	0	6	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	51	155	31	185	110	209
ASV 152 _	212	372	56	69	161	48	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	26	178	81	0	29
